document_id,dominant_profile,profile_probability
215,0,0.8331855162048537
216,2,0.43099188184942183
217,5,0.8607163594456424
218,0,0.7209631724310082
219,0,0.895510075352683
220,4,0.9154670087700426
221,0,0.7055983352635584
222,1,0.8807734856777476
223,2,0.3635278105756321
224,1,0.8951805149918044
225,0,0.497096165503138
226,0,0.491055456639828
227,2,0.8802922788578986
228,1,0.8594133227749671
229,0,0.5570691608642178
230,1,0.5736282539689461
231,1,0.7219655552434201
232,0,0.8598871483132328
233,0,0.497096165503138
234,0,0.7902565028381378
235,0,0.7897554013524708
236,1,0.5833328146557025
237,1,0.7904200023762833
238,1,0.880195053690594
239,1,0.8602680198756029
240,0,0.5833332962102067
241,1,0.6802501202980731
242,1,0.5481735549222021
243,0,0.2610288727949467
244,0,0.34274560424954864
245,3,0.5039061421525003
246,1,0.6922407810822171
247,1,0.8460914500909983
248,0,0.790519341800359
249,1,0.575379824034635
250,1,0.575379824034635
251,5,0.8607163594456424
252,1,0.8601581587665941
253,1,0.7077145908610919
254,5,0.4091569121905969
255,1,0.9163113886184929
256,4,0.3800716461213971
257,1,0.9240292107871809
258,0,0.8598871483132328
259,5,0.6227670286365256
260,0,0.16666666666666669
261,0,0.5823888724137787
262,5,0.5791985276837445
263,0,0.5158495664189973
264,2,0.7217767683949349
265,2,0.9068114308818039
266,2,0.9068114308818039
267,2,0.9068114308818039
268,2,0.9068114308818039
269,2,0.9068114308818039
270,2,0.9068114308818039
271,2,0.9068114308818039
272,2,0.9068114308818039
273,1,0.6883980171854523
274,0,0.8600744979612851
275,2,0.9068114308818039
276,2,0.9068114308818039
277,2,0.9068114308818039
278,2,0.9068114308818039
279,2,0.9068114308818039
280,2,0.9068114308818039
281,2,0.43796841993782537
282,1,0.8949528925799629
283,1,0.8270218146765009
284,2,0.9068114308818039
285,2,0.9068114308818039
286,2,0.9068114308818039
287,2,0.9068114308818039
288,2,0.9068114308818039
289,1,0.632054356007711
290,1,0.5161137890213449
291,0,0.8952218940107276
292,4,0.5384139296339768
293,4,0.5860385876790262
294,4,0.9700756493720659
295,0,0.33703354436624705
296,4,0.4671120647241598
297,4,0.9163387168802662
298,2,0.5142252699313999
299,4,0.9601292355757454
300,4,0.6657928030975168
301,4,0.9402468721158056
302,1,0.34384746159863594
303,5,0.5071431618198093
304,4,0.5658188873917537
305,4,0.7213865838698982
306,4,0.7855893139730171
307,1,0.6028812959574473
308,1,0.43457706517381955
309,1,0.25144841893029385
310,4,0.5409791340798032
311,1,0.5697941552480744
312,5,0.5822028094074996
313,3,0.5022331988240353
314,0,0.9474512549884205
315,0,0.3961624983361592
316,1,0.4494032962572899
317,4,0.5453648247750484
318,1,0.71940242896429
319,4,0.5293541441724049
320,1,0.36159943371503295
321,1,0.5052498288805377
322,2,0.7528645216494045
323,4,0.580480488396924
324,4,0.62117395220822
325,2,0.5496859275158676
326,2,0.7157725270766129
327,2,0.7085666479810019
328,4,0.580800150270913
329,4,0.702157347375191
330,4,0.702157347375191
331,4,0.6446316586595074
332,2,0.5390195467706316
333,3,0.4704720953519219
334,1,0.8596816860066085
335,2,0.6247264149289802
336,0,0.7904618214423369
337,2,0.832221222184997
338,2,0.8949795623300271
339,0,0.7899627103637097
340,2,0.5817559864142848
341,2,0.5817559864142848
342,3,0.7905698698684543
343,1,0.5275443036810904
344,1,0.48522872624310814
345,4,0.5471327624318499
346,5,0.5071431618198093
347,0,0.37826353325940376
348,4,0.9351530339149239
349,2,0.5451435800146904
350,4,0.312469295923187
351,0,0.16666666666666669
352,0,0.16666666666666669
353,4,0.773410567007466
354,4,0.622906188033508
355,4,0.6631113551580933
356,4,0.5320198591378906
357,2,0.7201568450355019
358,4,0.9476837776687601
359,4,0.6020601390404768
360,4,0.6551359325737125
361,4,0.8584989262022521
362,4,0.9476837776687601
363,4,0.7254633766787072
364,4,0.5015439120488627
365,4,0.6407812222116395
366,2,0.6128526923436477
367,3,0.8326057208433347
368,4,0.8104700801361134
369,4,0.5826194108251594
370,4,0.7023220091455411
371,4,0.7023220091455411
372,3,0.640520161093098
373,0,0.7165881081348261
374,0,0.5276003988463036
375,1,0.8803821638536927
376,0,0.5316044790515674
377,1,0.493704438192795
378,4,0.8104700801361134
379,4,0.953476966298845
380,1,0.617588724868934
381,4,0.5667827115458569
382,4,0.5667827115458569
383,4,0.580480488396924
384,4,0.580480488396924
385,4,0.8686146740841565
386,4,0.5168827715957994
387,4,0.6275248715649037
388,1,0.6537051430163072
389,2,0.5790099451729759
390,4,0.587075737296679
391,4,0.583084799089785
392,4,0.583084799089785
393,4,0.7005290224309256
394,2,0.5815663892035612
395,4,0.8046059665155247
396,4,0.8124138173767924
397,5,0.5121280194856673
398,4,0.8124138173767924
399,4,0.8658946017863092
400,0,0.7973675769890494
401,0,0.7973675769890494
402,4,0.9066327911099126
403,0,0.5813301534666552
404,0,0.7973675769890494
405,4,0.8576659787526728
406,3,0.39822995814862366
407,4,0.6822144656477714
408,4,0.6823309262395387
409,4,0.8950229439216433
410,4,0.7203977683971405
411,3,0.7896393102774014
412,1,0.5833328146557025
413,2,0.7201568450355019
414,5,0.6150760754642765
415,4,0.48036516472148594
416,5,0.41662800725777677
417,2,0.4939401245285659
418,2,0.4939401245285659
419,4,0.8778349358419029
420,4,0.9351530339149239
421,4,0.8321233734115219
422,5,0.48971981975878986
423,0,0.7973675769890494
424,4,0.8309179349833649
425,4,0.9437784664762497
426,3,0.36748717280904536
427,4,0.9298023996352487
428,4,0.8309179349833649
429,1,0.5076598202989526
430,2,0.7206522023989445
431,4,0.622906188033508
432,4,0.622906188033508
433,2,0.5788059314750928
434,4,0.7256479631917441
435,0,0.4681199812121192
436,3,0.30505088630750005
437,3,0.8330094965734013
438,4,0.9476513641472224
439,4,0.7142645938132348
440,4,0.7142645938132348
441,4,0.7142645938132348
442,4,0.7131941430717318
443,2,0.5815663892035612
444,4,0.7142645938132348
445,2,0.8600054780445731
446,2,0.6285371756439591
447,2,0.7195736289528201
448,2,0.7199064309286911
449,2,0.6027956174895849
450,4,0.5582289673376376
451,2,0.7897230311613215
452,2,0.5607933897409241
453,0,0.7208417742842367
454,1,0.7149347958268661
455,4,0.5840034777352757
456,3,0.4039219962312479
457,3,0.4039219962312479
458,0,0.8953951380201073
459,2,0.8608624099822609
460,1,0.6067084242147951
461,0,0.5813301534666552
462,1,0.4785712619234022
463,4,0.8608242196426704
464,4,0.5664787141272863
465,4,0.45466236892149897
466,1,0.8600763236048447
467,0,0.7165138507879824
468,3,0.8583507125872382
469,1,0.38421963079858035
470,4,0.4460441281274463
471,4,0.9579578481612547
472,1,0.5718632595590707
473,2,0.8609794483426987
474,2,0.44199400200161953
475,4,0.32851197065775883
476,0,0.5833328068554122
477,0,0.7901656074522401
478,0,0.7910007153359323
479,1,0.7881012883536062
480,1,0.525927744330796
481,2,0.5476382056125687
482,0,0.16666666666666669
483,5,0.3901646937717946
484,2,0.5350966886955137
485,1,0.7173671011794505
486,2,0.678439264801589
487,1,0.702133616098514
488,2,0.6206664250772082
489,1,0.832370035635188
490,0,0.16666666666666669
491,0,0.16666666666666669
492,0,0.7215461175854424
493,5,0.7200018231489742
494,0,0.43143405464632834
495,5,0.5794672254854126
496,1,0.682105627997258
497,1,0.5813630882399174
498,5,0.7201273919578126
499,2,0.7199578746818306
500,2,0.8608001967707354
501,0,0.16666666666666669
502,0,0.790432553104519
503,1,0.7597612434614522
504,0,0.16666666666666669
505,0,0.16666666666666669
506,5,0.5833330908677213
507,1,0.5203770925437423
