document_id,cluster_id,coord_x,coord_y
430,2,0.15423993143741987,-0.25027704266882234
431,0,-0.13933877280247964,-0.10173121521263043
432,0,-0.13933877280247964,-0.10173121521263043
433,4,-0.08048191306383767,-0.017272293035262933
434,1,-0.19512150270435336,0.04245985317894248
435,4,-0.07997087979787548,-0.040770474441939
436,1,-0.052988009339859185,0.08288026529723892
437,4,-0.14208967477789303,0.03794378040473391
438,1,-0.4086481277232289,0.03578533771520555
439,4,-0.14257322543842682,-0.037516488221343444
440,4,-0.14257322543842682,-0.037516488221343444
441,4,-0.14257322543842682,-0.037516488221343444
442,1,-0.22843809448409094,-0.013257362193760912
443,4,-0.09315490453825695,-0.052466452680098405
444,4,-0.14257322543842682,-0.037516488221343444
445,4,0.08272192183297755,-0.16115544772680213
446,1,-0.2053881350761754,-0.07146887742958055
447,4,-0.018467089075543286,-0.018698559262411887
448,4,-0.03847049780988473,-0.12094014351998283
449,1,-0.1850622656722366,-0.06218883450717128
450,4,-0.0948186505230352,0.1803461504314504
451,4,0.18855625873665682,-0.15036890436324704
452,3,-0.023493062673153525,0.29116650405622496
453,4,0.010005391158069053,-0.06298642842313476
454,4,0.009028796717375984,-0.09325546800550294
455,1,-0.2186074372786908,0.21995151161343374
456,3,-0.0007976802236543193,0.23045109582357387
457,3,-0.0007976802236543193,0.23045109582357387
458,0,0.176630508552934,-0.15706425167006452
459,4,0.032186804397372204,-0.07597454491810635
460,3,0.14897079459699109,0.3392549104338564
461,4,0.05397115314327876,-0.007404044958276887
462,3,0.259536902507697,0.2266944283992382
463,4,-0.10737618501972629,-0.006359542411295119
464,4,0.02850418176489411,0.08329993288271266
465,3,0.03291444004747285,0.3424526338511887
466,2,0.1644881134605547,-0.15190168478496408
467,4,0.020038809414683417,-0.06633937117614677
468,4,-0.09159549649731527,-0.04512295909011267
469,3,0.015614423228010654,0.32540022275687647
470,4,-0.1078032969952326,-0.05596943614581666
471,1,-0.33019566047136417,-0.00499663791371778
472,3,0.2031512449331178,0.1646983276264959
473,4,0.12502102201726567,-0.16713584275971904
474,0,0.053277944761393956,0.18127357988436255
475,4,0.002985839443574431,0.08461295581164512
476,4,-0.03679168447408285,-0.0716395648017234
477,4,0.09167564088581295,0.05551142418435137
478,2,0.152172851669191,-0.14661703055571296
479,3,0.3008586827307088,0.26510422153342583
480,4,0.0731300893995225,-0.10827950896481144
481,2,0.14830885003003189,-0.2232700525809554
482,4,-0.037064694741052256,-0.061736835379654006
483,4,-0.04443741130190482,-0.07148579507241673
484,4,-0.05424715190253398,-0.06863313055875336
485,3,0.10917275233704385,0.462328672580137
486,4,-0.007552116606491278,-0.11298442764883504
487,4,0.01282613845293653,-0.09265364511698032
488,3,0.04331310526519143,0.31495808474281656
489,4,0.0023810105573983317,-0.060354519093892195
490,4,-0.037064694741052256,-0.061736835379654006
491,4,-0.037064694741052256,-0.061736835379654006
492,4,0.048753446305009884,-0.07454877115829199
493,4,-0.04226447160096808,0.0016877175805215527
494,0,0.044732880624652194,-0.13001344552096059
495,4,-0.059591520573741064,-0.05560991255840381
496,2,0.3023327402604665,-0.32863546353146206
497,4,0.05745460538428593,-0.11561519191665479
498,4,0.03768877489244138,-0.01748131350918193
499,4,-0.09485191956890321,-0.05067537545405725
500,4,0.140241051454165,-0.154900598889233
501,4,-0.037064694741052256,-0.061736835379654006
502,4,0.030722762880186133,0.07185213298840983
503,2,0.20638835623732374,-0.27835245683077753
504,4,-0.037064694741052256,-0.061736835379654006
505,4,-0.037064694741052256,-0.061736835379654006
506,4,-0.045950226403039085,-0.07066062237155758
507,3,0.2108794880783492,0.1383286539176251
508,2,0.2342094874501063,-0.2423349977002474
509,4,0.06994146925380652,-0.16160922254161394
510,4,-0.03400874721845573,0.040466959646278666
511,4,0.0002596444083452637,0.05870876407356526
512,3,0.024222232766317048,0.40628329044305833
513,5,0.015165925785982956,-0.13017655729983535
514,2,0.21685274380958866,-0.22772817652518906
515,2,0.21685274380958866,-0.22772817652518906
516,2,0.15207285950652857,-0.1328174043493323
517,2,0.15207285950652857,-0.1328174043493323
518,2,0.15207285950652857,-0.1328174043493323
519,4,-0.08272386139251092,-0.1270057526736097
520,0,-0.20075086229841413,-0.1313955715170278
521,0,0.12110875263226312,-0.22573665506008972
522,4,0.05195982400049873,-0.07896072144175101
523,4,-0.05911379099684503,-0.06947240506907229
524,1,-0.23150466405999173,-0.07875940936048811
525,4,-0.06168256482147787,-0.062293812222471476
526,4,-0.06168256482147787,-0.062293812222471476
527,4,0.01678714564368089,-0.0765432002301092
528,0,0.29624985020991756,-0.12115982812530963
529,2,0.3897714629809532,-0.1502883745938961
530,4,-0.048554288913533236,-0.12396145046345736
531,0,0.34173173944635105,0.08894488449394931
532,3,0.17895733035672554,0.15356311941892226
533,2,0.26333913042993173,-0.06252897609185432
534,3,0.17895733035672554,0.15356311941892226
535,3,0.09753114258919901,0.16280601925627786
536,4,0.21236558272969241,0.0002583353748969522
537,0,0.20795569947967482,-0.07806621373480438
538,0,0.20795569947967482,-0.07806621373480438
539,4,0.11864842859539917,-0.0073106734657860314
540,4,0.16519545335181401,-0.02988057606988228
541,4,0.16529331570174263,0.0444636498424863
542,4,0.05397115314327876,-0.007404044958276887
543,0,0.28948742506288305,-0.11667317958164505
544,4,-0.037064694741052256,-0.061736835379654006
545,4,-0.037064694741052256,-0.061736835379654006
546,4,-0.0453463065402041,-0.07661380021162466
547,4,0.07816927781852126,-0.06665260033657747
548,2,0.23136017895296743,-0.2597155252187222
549,2,0.3470052011875313,-0.08345339996367451
550,0,0.278116033325998,-0.07823863257083183
551,4,0.006272710544624464,0.10239346885955657
552,4,-0.011594607190121651,-0.048331295737230905
553,4,0.03954086702759066,0.034315041101586216
554,2,0.2952887030739483,-0.2307082949763702
555,3,0.23731071692930336,0.4758018084418967
556,0,0.21965121733902251,-0.13220341627684612
557,0,0.3090071927722665,-0.17384165724426667
558,2,0.23136017895296743,-0.2597155252187222
559,5,0.14495740519060074,-0.20949884484528392
560,0,0.41788600694646616,0.023945500799760974
561,1,-0.20988543238551252,0.07433597442061628
562,2,0.18752889963202965,-0.20514818633980547
563,2,0.424908639933653,-0.2641163347042193
564,4,0.10919068482537742,-0.10754494239175863
565,2,0.3322781429375984,-0.31996823369147487
566,2,0.3322781429375984,-0.31996823369147487
567,4,0.11072214504502492,0.08825166245232892
568,2,0.1553680834031842,-0.06683383326612416
569,2,0.2326264297958667,-0.01632386448380392
570,2,0.12428454083152776,-0.13469985833919954
571,4,-0.037064694741052256,-0.061736835379654006
572,0,0.1867947482965758,-0.23073489392712743
573,0,0.41788600694646616,0.023945500799760974
574,3,0.23375706846701375,0.182195887822226
575,4,-0.037064694741052256,-0.061736835379654006
576,4,-0.037064694741052256,-0.061736835379654006
577,4,-0.037064694741052256,-0.061736835379654006
578,4,-0.037064694741052256,-0.061736835379654006
579,4,-0.037064694741052256,-0.061736835379654006
580,4,-0.037064694741052256,-0.061736835379654006
581,2,0.15385563422773182,-0.21602026415891334
582,4,-0.048554288913533236,-0.12396145046345736
583,4,-0.037064694741052256,-0.061736835379654006
584,4,-0.037064694741052256,-0.061736835379654006
585,4,0.01678714564368089,-0.0765432002301092
586,2,0.23136017895296743,-0.2597155252187222
